pulocationid,trips,locationid,zone,borough,share
187,361,187,Port Richmond,Staten Island,4.2064932779579064e-05
109,285,109,Great Kills,Staten Island,3.320915745756242e-05
30,279,30,Broad Channel,Queens,3.25100173005611e-05
99,231,99,Freshkills Park,Staten Island,2.6916896044550588e-05
84,199,84,Eltingville/Annadale/Prince's Bay,Staten Island,2.318814854054358e-05
176,189,176,Oakwood,Staten Island,2.2022914945541392e-05
204,171,204,Rossville/Woodrow,Staten Island,1.992549447453745e-05
110,18,110,Great Kills Park,Staten Island,2.0974204710039424e-06
104,11,104,Governor's Island/Ellis Island/Liberty Island,Manhattan,1.281756954502409e-06
103,4,103,Governor's Island/Ellis Island/Liberty Island,Manhattan,4.6609343800087603e-07
